vec_len,category,dist_fn,top_n,n,min,max,mean,std,med
100,monetary_credit_duration,cosine,1,78397,0.00008,0.53332,0.03670,0.02587,0.03089
100,monetary_credit_duration,euclidean,1,78397,1.41421,293.75500,15.22309,5.20071,14.37467
100,monetary_credit_duration,cosine,5,78397,0.00008,0.60718,0.04287,0.02839,0.03635
100,monetary_credit_duration,euclidean,5,78397,1.41421,340.11322,17.14663,5.82050,16.13691
100,monetary_credit_point,cosine,10,20307,0.00000,0.45721,0.04680,0.03831,0.03741
100,monetary_credit_point,euclidean,10,20307,0.00000,245.94511,18.19391,8.33941,16.52271
100,monetary_credit_point,cosine,1,20307,0.00000,0.33518,0.03740,0.03268,0.02912
100,monetary_credit_point,euclidean,1,20307,0.00000,103.79788,15.19672,5.88670,14.03567
100,monetary_credit_point,cosine,5,20307,0.00000,0.42139,0.04329,0.03610,0.03425
100,monetary_credit_point,euclidean,5,20307,0.00000,207.24382,17.03154,6.94528,15.52417
100,monetary_debit_duration,cosine,10,69922,0.00011,0.43718,0.04635,0.03087,0.03921
100,monetary_debit_duration,euclidean,10,69922,1.41421,323.32956,17.62546,5.63083,16.56193
100,monetary_debit_duration,cosine,1,69922,0.00011,0.37701,0.03660,0.02648,0.03055
100,monetary_debit_duration,euclidean,1,69922,1.41421,190.33655,14.81968,4.55908,13.99137
100,monetary_debit_duration,cosine,5,69922,0.00011,0.42734,0.04275,0.02922,0.03594
100,monetary_debit_duration,euclidean,5,69922,1.41421,300.98837,16.59427,5.14740,15.62050
100,monetary_debit_point,cosine,10,16444,0.00000,0.36134,0.04277,0.03550,0.03275
100,monetary_debit_point,euclidean,10,16444,0.00000,284.32199,18.35230,10.45196,16.30951
100,monetary_debit_point,cosine,1,16444,0.00000,0.32747,0.03371,0.03069,0.02524
100,monetary_debit_point,euclidean,1,16444,0.00000,90.86253,15.06570,6.64333,13.71131
100,monetary_debit_point,cosine,5,16444,0.00000,0.35225,0.03940,0.03369,0.02996
100,monetary_debit_point,euclidean,5,16444,0.00000,157.35628,17.05338,8.04353,15.32971
100,monetary_unk_duration,cosine,10,409,0.00152,0.34012,0.07208,0.04732,0.06312
100,monetary_unk_duration,euclidean,10,409,10.58300,198.25742,28.61519,15.46339,26.11512
100,monetary_unk_duration,cosine,1,409,0.00152,0.32694,0.06459,0.04566,0.05652
100,monetary_unk_duration,euclidean,1,409,10.58300,118.81078,25.11987,9.94310,24.26932
100,monetary_unk_duration,cosine,5,409,0.00152,0.33696,0.06817,0.04635,0.05803
100,monetary_unk_duration,euclidean,5,409,10.58300,195.35608,26.81906,13.20655,25.11971
100,monetary_unk_point,cosine,10,79,0.05767,inf,inf,nan,0.12808
100,monetary_unk_point,euclidean,10,79,18.02776,inf,inf,nan,25.92296
100,monetary_unk_point,cosine,1,79,0.05767,0.30736,0.11410,0.03847,0.09428
100,monetary_unk_point,euclidean,1,79,18.02776,31.43247,23.89842,2.20577,23.72762
100,monetary_unk_point,cosine,5,79,0.05767,0.32219,0.12399,0.03964,0.11920
100,monetary_unk_point,euclidean,5,79,18.02776,31.68596,24.35646,2.25875,24.45404
100,nonmonetary_duration,cosine,10,18150,0.00056,0.51795,0.05472,0.04057,0.04357
100,nonmonetary_duration,euclidean,10,18150,2.00000,63.92183,16.44171,4.50885,15.74802
100,nonmonetary_duration,cosine,1,18150,0.00056,0.50996,0.05072,0.03863,0.04027
100,nonmonetary_duration,euclidean,1,18150,2.00000,59.79131,15.12111,4.38848,14.42220
100,nonmonetary_duration,cosine,5,18150,0.00056,0.51055,0.05226,0.03966,0.04158
100,nonmonetary_duration,euclidean,5,18150,2.00000,62.20129,15.63505,4.43358,14.93318
100,nonmonetary_point,cosine,10,3476,0.00028,0.30145,0.05546,0.02987,0.05090
100,nonmonetary_point,euclidean,10,3476,2.64575,207.11591,16.09806,5.85617,15.06652
100,nonmonetary_point,cosine,1,3476,0.00028,0.26933,0.04803,0.02781,0.04450
100,nonmonetary_point,euclidean,1,3476,2.64575,80.18728,13.99085,4.78535,13.15295
100,nonmonetary_point,cosine,5,3476,0.00028,0.27342,0.05127,0.02862,0.04723
100,nonmonetary_point,euclidean,5,3476,2.64575,100.54353,14.88337,5.22726,14.03567
150,abstract,cosine,10,35978,0.00000,0.54110,0.08455,0.04550,0.07440
150,abstract,euclidean,10,35978,0.00000,83.06624,14.04857,5.01062,12.97356
150,abstract,cosine,1,35978,0.00000,0.46434,0.06696,0.04007,0.05791
150,abstract,euclidean,1,35978,0.00000,60.69596,12.11650,4.70411,11.14675
150,abstract,cosine,5,35978,0.00000,0.52300,0.07809,0.04344,0.06814
150,abstract,euclidean,5,35978,0.00000,70.39176,13.36230,4.86594,12.35134
150,monetary_credit_duration,cosine,10,78397,0.00008,0.57830,0.05114,0.03267,0.04395
150,monetary_credit_duration,euclidean,10,78397,1.41421,371.25867,18.42553,6.33948,17.34935
150,monetary_credit_duration,cosine,1,78397,0.00008,0.53836,0.04053,0.02832,0.03443
150,monetary_credit_duration,euclidean,1,78397,1.41421,289.38211,15.44071,5.17871,14.61457
150,monetary_credit_duration,cosine,5,78397,0.00008,0.56267,0.04725,0.03100,0.04048
150,monetary_credit_duration,euclidean,5,78397,1.41421,337.57220,17.35899,5.78352,16.37070
150,monetary_credit_point,cosine,10,20307,0.00000,0.47083,0.05211,0.04241,0.04162
150,monetary_credit_point,euclidean,10,20307,0.00000,243.84216,18.47444,8.27751,16.79286
150,monetary_credit_point,cosine,1,20307,0.00000,0.37156,0.04165,0.03624,0.03223
150,monetary_credit_point,euclidean,1,20307,0.00000,102.30347,15.44897,5.86414,14.24781
150,monetary_credit_point,cosine,5,20307,0.00000,0.43607,0.04824,0.04001,0.03833
150,monetary_credit_point,euclidean,5,20307,0.00000,203.65166,17.29516,6.91148,15.77973
150,monetary_debit_duration,cosine,10,69922,0.00009,0.44776,0.05079,0.03342,0.04313
150,monetary_debit_duration,euclidean,10,69922,1.41421,303.75482,17.89329,5.66084,16.84622
150,monetary_debit_duration,cosine,1,69922,0.00009,0.40262,0.04011,0.02871,0.03364
150,monetary_debit_duration,euclidean,1,69922,1.41421,184.44511,15.03757,4.59926,14.17745
150,monetary_debit_duration,cosine,5,69922,0.00009,0.43010,0.04688,0.03168,0.03956
150,monetary_debit_duration,euclidean,5,69922,1.41421,280.09567,16.85720,5.18389,15.87676
150,monetary_debit_point,cosine,10,16444,0.00000,0.50757,0.04695,0.03969,0.03554
150,monetary_debit_point,euclidean,10,16444,0.00000,276.70743,18.48545,10.23204,16.46208
150,monetary_debit_point,cosine,1,16444,0.00000,0.48504,0.03727,0.03469,0.02734
150,monetary_debit_point,euclidean,1,16444,0.00000,89.71065,15.25150,6.55915,13.92839
150,monetary_debit_point,cosine,5,16444,0.00000,0.49610,0.04339,0.03784,0.03257
150,monetary_debit_point,euclidean,5,16444,0.00000,156.75139,17.21585,7.93433,15.52417
150,monetary_unk_duration,cosine,10,409,0.00164,0.42760,0.07695,0.05029,0.06789
150,monetary_unk_duration,euclidean,10,409,10.58300,195.05383,28.37134,15.18529,25.86503
150,monetary_unk_duration,cosine,1,409,0.00164,0.37817,0.06971,0.04839,0.06096
150,monetary_unk_duration,euclidean,1,409,10.58300,117.75398,24.87774,9.71968,23.64318
150,monetary_unk_duration,cosine,5,409,0.00164,0.40711,0.07298,0.04902,0.06334
150,monetary_unk_duration,euclidean,5,409,10.58300,192.24463,26.58931,12.98864,24.93993
150,monetary_unk_point,cosine,10,79,0.07041,inf,inf,nan,0.15237
150,monetary_unk_point,euclidean,10,79,16.52271,inf,inf,nan,25.84570
